distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,,8,VECTORIZED,76353.624,500000
Beta,LogPDF,16,8,8,VECTORIZED,16603.17,500000
Beta,PDF,16,8,8,VECTORIZED,18759.322,500000
ChiSquared,CDF,8,8,8,WORK_STEALING,12424.388,500000
ChiSquared,LogPDF,16,8,8,WORK_STEALING,1483.282,500000
ChiSquared,PDF,8,8,8,WORK_STEALING,2664.156,500000
Discrete,CDF,8,16,32,WORK_STEALING,609.68,500000
Discrete,LogPDF,8,16,16,WORK_STEALING,674.444,500000
Discrete,PDF,8,16,5000,WORK_STEALING,661.421,500000
Exponential,CDF,8,8,8,WORK_STEALING,1359.51,500000
Exponential,LogPDF,8,8,8,WORK_STEALING,478.612,500000
Exponential,PDF,8,8,16,PARALLEL,2107.483,500000
Gamma,CDF,16,8,8,WORK_STEALING,9718.016,500000
Gamma,LogPDF,16,8,16,WORK_STEALING,2037.304,500000
Gamma,PDF,8,8,8,WORK_STEALING,2690.037,500000
Gaussian,CDF,8,,16,WORK_STEALING,4203.526,500000
Gaussian,LogPDF,8,8,16,WORK_STEALING,266.186,500000
Gaussian,PDF,8,8,64,WORK_STEALING,1388.958,500000
Poisson,CDF,64,16,64,WORK_STEALING,9753.425,500000
Poisson,LogPDF,8,50000,8,WORK_STEALING,2434.694,500000
Poisson,PDF,8,2000,16,WORK_STEALING,3935.375,500000
StudentT,CDF,8,128,8,VECTORIZED,115474.922,500000
StudentT,LogPDF,8,100000,32,WORK_STEALING,2254.997,500000
StudentT,PDF,8,100000,8,PARALLEL,4299.085,500000
Uniform,CDF,8,8,8,PARALLEL,1256.224,500000
Uniform,LogPDF,8,,32,VECTORIZED,486.83,500000
Uniform,PDF,8,,16,VECTORIZED,402.518,500000
